arena_number,arena_name,card_name,url,elixir,rarity,type,damage_lv11,hp_lv11,dps_lv11,transport
4,Spell Valley,Inferno Tower,https://clashroyale.fandom.com/wiki/Inferno_Tower,5.0,Rare,Building,,1748.0,,
4,Spell Valley,Wizard,https://clashroyale.fandom.com/wiki/Wizard,5.0,Rare,Troop,281.0,755.0,200.0,ground
4,Spell Valley,Inferno Tower,https://clashroyale.fandom.com/wiki/Inferno_Tower,5.0,Rare,Building,,1748.0,,
4,Spell Valley,Wizard,https://clashroyale.fandom.com/wiki/Wizard,5.0,Rare,Troop,281.0,755.0,200.0,ground
4,Spell Valley,Fire Spirit,https://clashroyale.fandom.com/wiki/Fire_Spirit,1.0,Common,Troop,207.0,230.0,,ground
4,Spell Valley,Electro Spirit,https://clashroyale.fandom.com/wiki/Electro_Spirit,1.0,Common,Troop,99.0,230.0,,ground
5,Builder's Workshop,Zap,https://clashroyale.fandom.com/wiki/Zap,2.0,Common,Spell,192.0,,,
5,Builder's Workshop,Mortar,https://clashroyale.fandom.com/wiki/Mortar,4.0,Common,Building,266.0,1369.0,53.0,
5,Builder's Workshop,Bats,https://clashroyale.fandom.com/wiki/Bats,2.0,Common,Troop,81.0,81.0,62.0,air
5,Builder's Workshop,Rocket,https://clashroyale.fandom.com/wiki/Rocket,6.0,Rare,Spell,1484.0,,,
5,Builder's Workshop,Flying Machine,https://clashroyale.fandom.com/wiki/Flying_Machine,4.0,Rare,Troop,171.0,614.0,155.0,air
5,Builder's Workshop,Hog Rider,https://clashroyale.fandom.com/wiki/Hog_Rider,4.0,Rare,Troop,317.0,1697.0,198.0,ground
5,Builder's Workshop,Zap,https://clashroyale.fandom.com/wiki/Zap,2.0,Common,Spell,192.0,,,
5,Builder's Workshop,Bats,https://clashroyale.fandom.com/wiki/Bats,2.0,Common,Troop,81.0,81.0,62.0,air
5,Builder's Workshop,Hog Rider,https://clashroyale.fandom.com/wiki/Hog_Rider,4.0,Rare,Troop,317.0,1697.0,198.0,ground
5,Builder's Workshop,Flying Machine,https://clashroyale.fandom.com/wiki/Flying_Machine,4.0,Rare,Troop,171.0,614.0,155.0,air
6,P.E.K.K.A.'s Playhouse,Goblin Barrel,https://clashroyale.fandom.com/wiki/Goblin_Barrel,3.0,Epic,Spell,,,,
6,P.E.K.K.A.'s Playhouse,Guards,https://clashroyale.fandom.com/wiki/Guards,3.0,Epic,Troop,117.0,81.0,117.0,ground
6,P.E.K.K.A.'s Playhouse,Baby Dragon,https://clashroyale.fandom.com/wiki/Baby_Dragon,4.0,Epic,Troop,161.0,1152.0,107.0,air
6,P.E.K.K.A.'s Playhouse,Skeleton Army,https://clashroyale.fandom.com/wiki/Skeleton_Army,3.0,Epic,Troop,81.0,81.0,81.0,ground
6,P.E.K.K.A.'s Playhouse,Witch,https://clashroyale.fandom.com/wiki/Witch,5.0,Epic,Troop,135.0,839.0,122.0,ground
6,P.E.K.K.A.'s Playhouse,P.E.K.K.A.,https://clashroyale.fandom.com/wiki/P.E.K.K.A.,7.0,Epic,Troop,816.0,3760.0,453.0,ground
6,P.E.K.K.A.'s Playhouse,Skeleton Army,https://clashroyale.fandom.com/wiki/Skeleton_Army,3.0,Epic,Troop,81.0,81.0,81.0,ground
6,P.E.K.K.A.'s Playhouse,Witch,https://clashroyale.fandom.com/wiki/Witch,5.0,Epic,Troop,135.0,839.0,122.0,ground
6,P.E.K.K.A.'s Playhouse,Goblin Barrel,https://clashroyale.fandom.com/wiki/Goblin_Barrel,3.0,Epic,Spell,,,,
6,P.E.K.K.A.'s Playhouse,Guards,https://clashroyale.fandom.com/wiki/Guards,3.0,Epic,Troop,117.0,81.0,117.0,ground
7,Royal Arena,Royal Recruits,https://clashroyale.fandom.com/wiki/Royal_Recruits,7.0,Common,Troop,133.0,547.0,102.0,ground
7,Royal Arena,Royal Giant,https://clashroyale.fandom.com/wiki/Royal_Giant,6.0,Common,Troop,307.0,3164.0,180.0,ground
7,Royal Arena,Royal Hogs,https://clashroyale.fandom.com/wiki/Royal_Hogs,5.0,Rare,Troop,74.0,837.0,61.0,ground
7,Royal Arena,Three Musketeers,https://clashroyale.fandom.com/wiki/Three_Musketeers,9.0,Rare,Troop,217.0,721.0,217.0,ground
7,Royal Arena,Dark Prince,https://clashroyale.fandom.com/wiki/Dark_Prince,4.0,Epic,Troop,266.0,1200.0,204.0,ground
7,Royal Arena,Prince,https://clashroyale.fandom.com/wiki/Prince,5.0,Epic,Troop,391.0,1920.0,279.0,ground
7,Royal Arena,Balloon,https://clashroyale.fandom.com/wiki/Balloon,5.0,Epic,Troop,640.0,1679.0,320.0,air
7,Royal Arena,Royal Giant,https://clashroyale.fandom.com/wiki/Royal_Giant,6.0,Common,Troop,307.0,3164.0,180.0,ground
7,Royal Arena,Royal Recruits,https://clashroyale.fandom.com/wiki/Royal_Recruits,7.0,Common,Troop,133.0,547.0,102.0,ground
7,Royal Arena,Three Musketeers,https://clashroyale.fandom.com/wiki/Three_Musketeers,9.0,Rare,Troop,217.0,721.0,217.0,ground
7,Royal Arena,Royal Hogs,https://clashroyale.fandom.com/wiki/Royal_Hogs,5.0,Rare,Troop,74.0,837.0,61.0,ground
8,Frozen Peak,Giant Snowball,https://clashroyale.fandom.com/wiki/Giant_Snowball,2.0,Common,Spell,179.0,,,
8,Frozen Peak,Ice Spirit,https://clashroyale.fandom.com/wiki/Ice_Spirit,1.0,Common,Troop,110.0,230.0,,ground
8,Frozen Peak,Battle Healer,https://clashroyale.fandom.com/wiki/Battle_Healer,4.0,Rare,Troop,148.0,1717.0,98.0,ground
8,Frozen Peak,Ice Golem,https://clashroyale.fandom.com/wiki/Ice_Golem,2.0,Rare,Troop,84.0,1198.0,33.0,ground
8,Frozen Peak,Vines,https://clashroyale.fandom.com/wiki/Vines,3.0,Epic,Spell,,,153.0,
8,Frozen Peak,Lightning,https://clashroyale.fandom.com/wiki/Lightning,6.0,Epic,Spell,1057.0,,,
8,Frozen Peak,Freeze,https://clashroyale.fandom.com/wiki/Freeze,4.0,Epic,Spell,115.0,,,
8,Frozen Peak,Giant Skeleton,https://clashroyale.fandom.com/wiki/Giant_Skeleton,6.0,Epic,Troop,266.0,3617.0,190.0,ground
8,Frozen Peak,Cannoneer,https://clashroyale.fandom.com/wiki/Cannoneer,,Epic,Tower Troop,320.0,2616.0,145.0,
8,Frozen Peak,Ice Spirit,https://clashroyale.fandom.com/wiki/Ice_Spirit,1.0,Common,Troop,110.0,230.0,,ground
8,Frozen Peak,Giant Snowball,https://clashroyale.fandom.com/wiki/Giant_Snowball,2.0,Common,Spell,179.0,,,
8,Frozen Peak,Freeze,https://clashroyale.fandom.com/wiki/Freeze,4.0,Epic,Spell,115.0,,,
8,Frozen Peak,Lightning,https://clashroyale.fandom.com/wiki/Lightning,6.0,Epic,Spell,1057.0,,,
9,Jungle Arena,Berserker,https://clashroyale.fandom.com/wiki/Berserker,2.0,Common,Troop,102.0,896.0,170.0,ground
9,Jungle Arena,Skeleton Barrel,https://clashroyale.fandom.com/wiki/Skeleton_Barrel,3.0,Common,Troop,,,,air
9,Jungle Arena,Goblin Gang,https://clashroyale.fandom.com/wiki/Goblin_Gang,3.0,Common,Troop,,,,ground
9,Jungle Arena,Barbarian Hut,https://clashroyale.fandom.com/wiki/Barbarian_Hut,6.0,Rare,Building,,,,
9,Jungle Arena,Dart Goblin,https://clashroyale.fandom.com/wiki/Dart_Goblin,3.0,Rare,Troop,156.0,261.0,195.0,ground
9,Jungle Arena,Barbarian Barrel,https://clashroyale.fandom.com/wiki/Barbarian_Barrel,2.0,Epic,Spell,,,,
9,Jungle Arena,Poison,https://clashroyale.fandom.com/wiki/Poison,4.0,Epic,Spell,,,92.0,
9,Jungle Arena,Rune Giant,https://clashroyale.fandom.com/wiki/Rune_Giant,4.0,Epic,Troop,120.0,2662.0,,ground
9,Jungle Arena,Goblin Giant,https://clashroyale.fandom.com/wiki/Goblin_Giant,6.0,Epic,Troop,,,,ground
9,Jungle Arena,Dart Goblin,https://clashroyale.fandom.com/wiki/Dart_Goblin,3.0,Rare,Troop,156.0,261.0,195.0,ground
9,Jungle Arena,Barbarian Hut,https://clashroyale.fandom.com/wiki/Barbarian_Hut,6.0,Rare,Building,,,,
9,Jungle Arena,Goblin Giant,https://clashroyale.fandom.com/wiki/Goblin_Giant,6.0,Epic,Troop,,,,ground
9,Jungle Arena,Poison,https://clashroyale.fandom.com/wiki/Poison,4.0,Epic,Spell,,,92.0,
10,Hog Mountain,Tesla,https://clashroyale.fandom.com/wiki/Tesla,4.0,Common,Building,220.0,1152.0,199.0,
10,Hog Mountain,Elite Barbarians,https://clashroyale.fandom.com/wiki/Elite_Barbarians,6.0,Common,Troop,384.0,1341.0,274.0,ground
10,Hog Mountain,Minion Horde,https://clashroyale.fandom.com/wiki/Minion_Horde,5.0,Common,Troop,117.0,230.0,117.0,air
10,Hog Mountain,Furnace,https://clashroyale.fandom.com/wiki/Furnace,4.0,Rare,Troop,,,,ground
10,Hog Mountain,Zappies,https://clashroyale.fandom.com/wiki/Zappies,4.0,Rare,Troop,117.0,529.0,55.0,ground
10,Hog Mountain,X-Bow,https://clashroyale.fandom.com/wiki/X-Bow,6.0,Epic,Building,43.0,1600.0,143.0,
10,Hog Mountain,Hunter,https://clashroyale.fandom.com/wiki/Hunter,4.0,Epic,Troop,84.0,885.0,381.0,ground
10,Hog Mountain,Golem,https://clashroyale.fandom.com/wiki/Golem,8.0,Epic,Troop,,,,ground
10,Hog Mountain,Elite Barbarians,https://clashroyale.fandom.com/wiki/Elite_Barbarians,6.0,Common,Troop,384.0,1341.0,274.0,ground
10,Hog Mountain,Minion Horde,https://clashroyale.fandom.com/wiki/Minion_Horde,5.0,Common,Troop,117.0,230.0,117.0,air
10,Hog Mountain,Golem,https://clashroyale.fandom.com/wiki/Golem,8.0,Epic,Troop,,,,ground
10,Hog Mountain,Hunter,https://clashroyale.fandom.com/wiki/Hunter,4.0,Epic,Troop,84.0,885.0,381.0,ground
11,Electro Valley,The Log,https://clashroyale.fandom.com/wiki/The_Log,2.0,Legendary,Spell,266.0,,,
11,Electro Valley,Mega Knight,https://clashroyale.fandom.com/wiki/Mega_Knight,7.0,Legendary,Troop,268.0,3993.0,157.0,ground
11,Electro Valley,Ram Rider,https://clashroyale.fandom.com/wiki/Ram_Rider,5.0,Legendary,Troop,,1697.0,,ground
11,Electro Valley,Electro Wizard,https://clashroyale.fandom.com/wiki/Electro_Wizard,4.0,Legendary,Troop,115.0,714.0,127.0,ground
11,Electro Valley,Inferno Dragon,https://clashroyale.fandom.com/wiki/Inferno_Dragon,4.0,Legendary,Troop,,1295.0,,air
11,Electro Valley,Sparky,https://clashroyale.fandom.com/wiki/Sparky,6.0,Legendary,Troop,1331.0,1451.0,332.0,ground
11,Electro Valley,Miner,https://clashroyale.fandom.com/wiki/Miner,3.0,Legendary,Troop,194.0,1210.0,149.0,ground
11,Electro Valley,Princess,https://clashroyale.fandom.com/wiki/Princess,3.0,Legendary,Troop,168.0,261.0,56.0,ground
11,Electro Valley,Dagger Duchess,https://clashroyale.fandom.com/wiki/Dagger_Duchess,,Legendary,Tower Troop,107.0,2768.0,214.0,
12,Spooky Town,Firecracker,https://clashroyale.fandom.com/wiki/Firecracker,3.0,Common,Troop,64.0,304.0,106.0,ground
12,Spooky Town,Earthquake,https://clashroyale.fandom.com/wiki/Earthquake,3.0,Rare,Spell,84.0,,,
12,Spooky Town,Goblin Demolisher,https://clashroyale.fandom.com/wiki/Goblin_Demolisher,4.0,Rare,Troop,186.0,1300.0,,ground
12,Spooky Town,Electro Dragon,https://clashroyale.fandom.com/wiki/Electro_Dragon,5.0,Epic,Troop,192.0,949.0,91.0,air
12,Spooky Town,Wall Breakers,https://clashroyale.fandom.com/wiki/Wall_Breakers,2.0,Epic,Troop,391.0,330.0,,ground
12,Spooky Town,Graveyard,https://clashroyale.fandom.com/wiki/Graveyard,5.0,Legendary,Spell,,,,
12,Spooky Town,Phoenix,https://clashroyale.fandom.com/wiki/Phoenix,4.0,Legendary,Troop,217.0,1052.0,217.0,air
12,Spooky Town,Royal Ghost,https://clashroyale.fandom.com/wiki/Royal_Ghost,3.0,Legendary,Troop,261.0,1210.0,145.0,ground
12,Spooky Town,Ice Wizard,https://clashroyale.fandom.com/wiki/Ice_Wizard,3.0,Legendary,Troop,89.0,688.0,52.0,ground
12,Spooky Town,Wall Breakers,https://clashroyale.fandom.com/wiki/Wall_Breakers,2.0,Epic,Troop,391.0,330.0,,ground
12,Spooky Town,Electro Dragon,https://clashroyale.fandom.com/wiki/Electro_Dragon,5.0,Epic,Troop,192.0,949.0,91.0,air
12,Spooky Town,Firecracker,https://clashroyale.fandom.com/wiki/Firecracker,3.0,Common,Troop,64.0,304.0,106.0,ground
12,Spooky Town,Rascals,https://clashroyale.fandom.com/wiki/Rascals,5.0,Common,Troop,,,,ground
13,Rascal's Hideout,Rascals,https://clashroyale.fandom.com/wiki/Rascals,5.0,Common,Troop,,,,ground
13,Rascal's Hideout,Heal Spirit,https://clashroyale.fandom.com/wiki/Heal_Spirit,1.0,Rare,Troop,110.0,230.0,,ground
13,Rascal's Hideout,Suspicious Bush,https://clashroyale.fandom.com/wiki/Suspicious_Bush,2.0,Rare,Troop,,,,ground
13,Rascal's Hideout,Electro Giant,https://clashroyale.fandom.com/wiki/Electro_Giant,7.0,Epic,Troop,163.0,3855.0,77.0,ground
13,Rascal's Hideout,Bowler,https://clashroyale.fandom.com/wiki/Bowler,5.0,Epic,Troop,289.0,2081.0,115.0,ground
13,Rascal's Hideout,Magic Archer,https://clashroyale.fandom.com/wiki/Magic_Archer,4.0,Legendary,Troop,133.0,529.0,120.0,ground
13,Rascal's Hideout,Bandit,https://clashroyale.fandom.com/wiki/Bandit,3.0,Legendary,Troop,194.0,906.0,194.0,ground
13,Rascal's Hideout,Lava Hound,https://clashroyale.fandom.com/wiki/Lava_Hound,7.0,Legendary,Troop,,,,air
13,Rascal's Hideout,Royal Chef,https://clashroyale.fandom.com/wiki/Royal_Chef,,Legendary,Tower Troop,109.0,2703.0,109.0,
13,Rascal's Hideout,Bowler,https://clashroyale.fandom.com/wiki/Bowler,5.0,Epic,Troop,289.0,2081.0,115.0,ground
13,Rascal's Hideout,Electro Giant,https://clashroyale.fandom.com/wiki/Electro_Giant,7.0,Epic,Troop,163.0,3855.0,77.0,ground
14,Serenity Peak,Royal Delivery,https://clashroyale.fandom.com/wiki/Royal_Delivery,3.0,Common,Spell,,,,
14,Serenity Peak,Elixir Golem,https://clashroyale.fandom.com/wiki/Elixir_Golem,3.0,Rare,Troop,,,,ground
14,Serenity Peak,Goblin Curse,https://clashroyale.fandom.com/wiki/Goblin_Curse,2.0,Epic,Spell,,,30.0,
14,Serenity Peak,Rage,https://clashroyale.fandom.com/wiki/Rage,2.0,Epic,Spell,179.0,,,
14,Serenity Peak,Goblin Drill,https://clashroyale.fandom.com/wiki/Goblin_Drill,4.0,Epic,Building,,,,
14,Serenity Peak,Executioner,https://clashroyale.fandom.com/wiki/Executioner,5.0,Epic,Troop,168.0,1280.0,140.0,ground
14,Serenity Peak,Night Witch,https://clashroyale.fandom.com/wiki/Night_Witch,4.0,Legendary,Troop,,,,ground
14,Serenity Peak,Lumberjack,https://clashroyale.fandom.com/wiki/Lumberjack,4.0,Legendary,Troop,,1282.0,,ground
14,Serenity Peak,Goblin Drill,https://clashroyale.fandom.com/wiki/Goblin_Drill,4.0,Epic,Building,,,,
14,Serenity Peak,Executioner,https://clashroyale.fandom.com/wiki/Executioner,5.0,Epic,Troop,168.0,1280.0,140.0,ground
14,Serenity Peak,Goblin Curse,https://clashroyale.fandom.com/wiki/Goblin_Curse,2.0,Epic,Spell,,,30.0,
14,Serenity Peak,Rage,https://clashroyale.fandom.com/wiki/Rage,2.0,Epic,Spell,179.0,,,
14,Serenity Peak,Royal Delivery,https://clashroyale.fandom.com/wiki/Royal_Delivery,3.0,Common,Spell,,,,
14,Serenity Peak,Night Witch,https://clashroyale.fandom.com/wiki/Night_Witch,4.0,Legendary,Troop,,,,ground
14,Serenity Peak,Mother Witch,https://clashroyale.fandom.com/wiki/Mother_Witch,4.0,Legendary,Troop,,,,ground
14,Serenity Peak,Elixir Golem,https://clashroyale.fandom.com/wiki/Elixir_Golem,3.0,Rare,Troop,,,,ground
14,Serenity Peak,Elixir Collector,https://clashroyale.fandom.com/wiki/Elixir_Collector,6.0,Rare,Building,,1070.0,,
15,Miner's Mine,Elixir Collector,https://clashroyale.fandom.com/wiki/Elixir_Collector,6.0,Rare,Building,,1070.0,,
15,Miner's Mine,Void,https://clashroyale.fandom.com/wiki/Void,3.0,Epic,Spell,,,,
15,Miner's Mine,Clone,https://clashroyale.fandom.com/wiki/Clone,3.0,Epic,Spell,,,,
15,Miner's Mine,Tornado,https://clashroyale.fandom.com/wiki/Tornado,3.0,Epic,Spell,84.0,,,
15,Miner's Mine,Mirror,https://clashroyale.fandom.com/wiki/Mirror,,Epic,Spell,,,,
15,Miner's Mine,Cannon Cart,https://clashroyale.fandom.com/wiki/Cannon_Cart,5.0,Epic,Troop,212.0,1809.0,,ground
15,Miner's Mine,Spirit Empress,https://clashroyale.fandom.com/wiki/Spirit_Empress,6.0,Legendary,Troop,307.0,,,
15,Miner's Mine,Goblin Machine,https://clashroyale.fandom.com/wiki/Goblin_Machine,5.0,Legendary,Troop,212.0,2150.0,,ground
15,Miner's Mine,Mother Witch,https://clashroyale.fandom.com/wiki/Mother_Witch,4.0,Legendary,Troop,,,,ground
15,Miner's Mine,Fisherman,https://clashroyale.fandom.com/wiki/Fisherman,3.0,Legendary,Troop,194.0,870.0,149.0,ground
15,Miner's Mine,Clone,https://clashroyale.fandom.com/wiki/Clone,3.0,Epic,Spell,,,,
15,Miner's Mine,Mirror,https://clashroyale.fandom.com/wiki/Mirror,,Epic,Spell,,,,
15,Miner's Mine,Tornado,https://clashroyale.fandom.com/wiki/Tornado,3.0,Epic,Spell,84.0,,,
15,Miner's Mine,Void,https://clashroyale.fandom.com/wiki/Void,3.0,Epic,Spell,,,,
16,Executioner's Kitchen,Golden Knight,https://clashroyale.fandom.com/wiki/Golden_Knight,4.0,Champion,Troop,161.0,1799.0,178.0,ground
16,Executioner's Kitchen,Skeleton King,https://clashroyale.fandom.com/wiki/Skeleton_King,4.0,Champion,Troop,,,,ground
17,Royal Crypt,Boss Bandit,https://clashroyale.fandom.com/wiki/Boss_Bandit,6.0,Champion,Troop,268.0,2624.0,223.0,ground
17,Royal Crypt,Archer Queen,https://clashroyale.fandom.com/wiki/Archer_Queen,5.0,Champion,Troop,225.0,1000.0,187.0,ground
17,Royal Crypt,Mighty Miner,https://clashroyale.fandom.com/wiki/Mighty_Miner,4.0,Champion,Troop,,2250.0,,ground
18,Silent Sanctuary,Goblinstein,https://clashroyale.fandom.com/wiki/Goblinstein,5.0,Champion,Troop,,,,ground
18,Silent Sanctuary,Little Prince,https://clashroyale.fandom.com/wiki/Little_Prince,3.0,Champion,Troop,,,,ground
18,Silent Sanctuary,Monk,https://clashroyale.fandom.com/wiki/Monk,5.0,Champion,Troop,140.0,2150.0,175.0,ground
